,Democrats_12(Votes),Republicans_12(Votes),Democrats_16(Votes),Republicans_16(Votes),Fips
2881,19821.0,25251.0,12273.0,31086.0,39029
2882,6157.0,6285.0,3713.0,8282.0,39073
2883,2608.0,8702.0,1766.0,8578.0,39075
2884,19808.0,30251.0,14670.0,31622.0,39169
2885,4908.0,12214.0,4002.0,13751.0,40019
2886,1747.0,3559.0,1249.0,4279.0,40035
2887,605.0,1634.0,365.0,1905.0,40067
2888,3674.0,12843.0,3785.0,14595.0,48053
2889,740.0,4266.0,536.0,4376.0,48077
2890,890.0,3944.0,788.0,4300.0,48093
2891,1239.0,3042.0,1185.0,2911.0,48117
2892,80978.0,157579.0,110000.0,169175.0,48121
2893,232.0,642.0,302.0,741.0,48137
2894,279.0,1263.0,224.0,1223.0,48169
2895,97969.0,39865.0,118739.0,48608.0,48215
2896,1226.0,4262.0,935.0,4815.0,48253
2897,998.0,1663.0,1034.0,1830.0,48391
2898,807.0,3727.0,614.0,3992.0,48403
2899,323.0,1905.0,293.0,2025.0,48411
2900,6514.0,9244.0,5744.0,10525.0,48473
2901,841.0,2366.0,780.0,2541.0,48475
2902,3381.0,10857.0,3381.0,10944.0,48477
2903,4821.0,12218.0,4790.0,13991.0,48493
2904,6244.0,35039.0,6705.0,16643.0,49005
2905,8337.0,44698.0,9583.0,39566.0,49053
2906,8285.0,11580.0,7744.0,13341.0,51047
2907,34771.0,59116.0,38790.0,62469.0,40027
2908,3344.0,3409.0,2829.0,3712.0,51135
2909,10858.0,19263.0,9195.0,21742.0,51143
2910,2833.0,1496.0,2516.0,1421.0,51620
2911,62687.0,23147.0,51429.0,19875.0,51710
2912,566.0,895.0,383.0,1021.0,51720
2913,12257.0,5203.0,11217.0,5297.0,50001
2914,12664.0,20452.0,7236.0,16273.0,53041
2915,9768.0,14648.0,7550.0,10775.0,53071
2916,4969.0,3573.0,3577.0,4021.0,55103
2917,2790.0,5467.0,1783.0,6483.0,54005
2918,718.0,3783.0,510.0,4338.0,54023
2919,8961.0,22132.0,6573.0,23523.0,56025
2920,,,,,2180
2921,82744.0,145062.0,87663.0,143985.0,40143
2922,4625.0,6598.0,4253.0,7157.0,41015
2923,2547.0,6862.0,1810.0,8234.0,42067
2924,88481.0,130669.0,90066.0,137145.0,42071
2925,19900.0,35872.0,17860.0,38804.0,42075
2926,35221.0,26867.0,31930.0,31706.0,42089
2927,6995.0,10010.0,4828.0,12032.0,42123
2928,7891.0,6367.0,6582.0,7272.0,45023
2929,2698.0,4758.0,1823.0,5685.0,47081
2930,1460.0,3019.0,936.0,3501.0,29185
2931,1359.0,8376.0,1013.0,8652.0,28039
2932,4267.0,2507.0,3720.0,2466.0,28065
2933,4920.0,1325.0,4330.0,1181.0,28103
2934,1643.0,6133.0,990.0,7117.0,28141
2935,32824.0,22652.0,30740.0,21699.0,30063
2936,9861.0,7249.0,8899.0,7794.0,41007
2937,8302.0,18898.0,7080.0,20170.0,41035
2938,9045.0,20142.0,6849.0,22676.0,42005
2939,24546.0,32278.0,16724.0,43937.0,42107
2940,153.0,616.0,105.0,704.0,46021
2941,4211.0,10034.0,3384.0,11455.0,47003
2942,4659.0,10268.0,3877.0,11295.0,47021
2943,2484.0,8467.0,1761.0,9885.0,21121
2944,2825.0,5025.0,1960.0,6484.0,21027
2945,1501.0,2971.0,1062.0,3745.0,21187
2946,291.0,1261.0,193.0,1211.0,20195
2947,34302.0,15496.0,29346.0,15520.0,20209
2948,1170.0,3177.0,721.0,3377.0,20107
2949,550.0,1759.0,388.0,1950.0,20077
2950,2549.0,5726.0,1921.0,7196.0,21215
2951,143.0,605.0,132.0,580.0,20187
2952,5317.0,9440.0,4749.0,10367.0,21035
2953,323400.0,123353.0,309761.0,82985.0,24031
2954,35068.0,26519.0,29296.0,31753.0,23011
2955,5330.0,10181.0,4208.0,10357.0,22039
2956,3285.0,7551.0,2553.0,8320.0,21217
2957,16557.0,24806.0,12651.0,27579.0,24015
2958,3830.0,2187.0,4144.0,1892.0,25019
2959,955.0,1825.0,620.0,2342.0,54073
2960,422.0,2821.0,294.0,2898.0,56045
2961,,,,,15005
2962,4331.0,4856.0,3800.0,5216.0,13199
2963,238224.0,64392.0,239131.0,47531.0,13089
2964,26295.0,11449.0,23224.0,10227.0,13095
2965,2569.0,3171.0,1720.0,3603.0,19077
2966,1637.0,1972.0,959.0,2401.0,19071
2967,10547.0,15179.0,9597.0,15643.0,13285
2968,2635.0,4215.0,1847.0,4516.0,19075
2969,5494.0,8885.0,3982.0,10522.0,17021
2970,50652.0,38251.0,40302.0,39083.0,19163
2971,4044.0,3618.0,2983.0,4267.0,17187
2972,3701.0,6806.0,2551.0,8248.0,17165
2973,469.0,1141.0,360.0,1184.0,16063
2974,2831.0,2643.0,1879.0,3180.0,19131
2975,176.0,1168.0,149.0,1127.0,20063
2976,280.0,1304.0,236.0,1552.0,20019
2977,3075.0,7561.0,2691.0,7972.0,22111
2978,960.0,2839.0,617.0,3290.0,21055
2979,3780.0,2529.0,3353.0,2497.0,22091
2980,3599.0,6471.0,3347.0,6900.0,22075
2981,1855.0,5289.0,1431.0,6370.0,21231
2982,3701.0,6398.0,3158.0,7856.0,21173
2983,1355.0,2133.0,879.0,2771.0,21223
2984,8728.0,12457.0,6212.0,15174.0,26123
